level,planned_label,classified_label,count
row,bound,bound,6
row,gallop_a,bound,3
row,gallop_a,half_bound_hind_a,2
row,gallop_a,unclassified,1
row,gallop_b,gallop_b,6
row,gallop_c,bound,3
row,gallop_c,half_bound_front_a,2
row,gallop_c,unclassified,1
row,gallop_d,bound,1
row,gallop_d,gallop_d,3
row,gallop_d,half_bound_front_b,1
row,gallop_d,unclassified,1
row,half_bound_front_a,half_bound_front_a,2
row,half_bound_front_a,unclassified,4
row,half_bound_front_b,bound,5
row,half_bound_front_b,half_bound_front_b,1
row,half_bound_hind_a,bound,1
row,half_bound_hind_a,half_bound_hind_a,3
row,half_bound_hind_a,unclassified,2
row,half_bound_hind_b,bound,4
row,half_bound_hind_b,unclassified,2
row,trot,trot,6
family,bound,bound,6
family,gallop,bound,7
family,gallop,gallop,9
family,gallop,half_bound,5
family,gallop,unclassified,3
family,half_bound,bound,10
family,half_bound,half_bound,6
family,half_bound,unclassified,8
family,trot,trot,6
