level,planned_label,classified_label,count
row,bound,bound,6
row,gallop_a,bound,5
row,gallop_a,unclassified,1
row,gallop_b,gallop_b,6
row,gallop_c,bound,3
row,gallop_c,half_bound_front_a,2
row,gallop_c,unclassified,1
row,gallop_d,bound,2
row,gallop_d,half_bound_hind_b,1
row,gallop_d,unclassified,3
row,half_bound_front_a,bound,3
row,half_bound_front_a,half_bound_front_a,3
row,half_bound_front_b,bound,6
row,half_bound_hind_a,bound,3
row,half_bound_hind_a,half_bound_hind_a,1
row,half_bound_hind_a,unclassified,2
row,half_bound_hind_b,bound,3
row,half_bound_hind_b,unclassified,3
row,trot,trot,6
family,bound,bound,6
family,gallop,bound,10
family,gallop,gallop,6
family,gallop,half_bound,3
family,gallop,unclassified,5
family,half_bound,bound,15
family,half_bound,half_bound,4
family,half_bound,unclassified,5
family,trot,trot,6
